City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country
Rikitea,-23.1203,-134.9692,73.2,broken clouds,74,55,17.78,PF
Mahebourg,-20.4081,57.7,73.26,light rain,79,5,12.71,MU
Muros,42.7762,-9.0603,67.84,few clouds,79,24,18.16,ES
Wenling,28.3669,121.36,61.59,overcast clouds,69,100,5.68,CN
Clyde River,70.4692,-68.5914,-0.62,scattered clouds,87,35,4.18,CA
Vaini,-21.2,-175.2,75.36,broken clouds,73,75,5.75,TO
Ushuaia,-54.8,-68.3,42.15,overcast clouds,73,100,10.63,AR
Bluff,-46.6,168.3333,53.8,moderate rain,82,100,9.6,NZ
Shirgaon,19.7,72.7,75.15,clear sky,61,0,4.34,IN
Avarua,-21.2078,-159.775,77.05,overcast clouds,57,100,4.61,CK
Aklavik,68.2191,-135.0107,14.0,light snow,85,100,2.3,CA
Albany,42.6001,-73.9662,68.54,overcast clouds,88,96,1.01,US
Mataura,-46.1927,168.8643,53.47,overcast clouds,60,100,4.14,NZ
Punta Arenas,-53.15,-70.9167,48.31,broken clouds,71,75,19.57,CL
Kirkkonummi,60.1238,24.4385,47.17,overcast clouds,100,100,5.1,FI
Korla,41.7597,86.1469,47.48,clear sky,43,0,1.79,CN
Ouadda,8.0777,22.4007,69.66,broken clouds,54,61,2.91,CF
Barra Dos Coqueiros,-10.9089,-37.0386,78.82,broken clouds,83,75,13.8,BR
Mar Del Plata,-38.0023,-57.5575,69.1,clear sky,86,0,15.99,AR
Coihaique,-45.5752,-72.0662,58.95,broken clouds,55,75,4.61,CL
Qeshm,26.9581,56.2719,73.27,clear sky,66,0,0.89,IR
Soe,-9.8607,124.284,68.83,overcast clouds,89,100,1.97,ID
Pisco,-13.7,-76.2167,64.45,clear sky,72,0,19.57,PE
Cherskiy,68.75,161.3,-5.1,broken clouds,93,52,7.07,RU
Meulaboh,4.1363,96.1285,76.17,overcast clouds,90,100,4.83,ID
San Vicente De Canete,-13.0751,-76.3835,64.22,few clouds,77,15,8.28,PE
Chokurdakh,70.6333,147.9167,7.07,light snow,96,100,2.64,RU
Umm Lajj,25.0213,37.2685,78.39,clear sky,62,0,6.2,SA
Butaritari,3.0707,172.7902,81.21,light rain,76,57,3.38,KI
Upernavik,72.7868,-56.1549,23.2,light snow,93,100,10.67,GL
Cervo,43.6702,-7.4101,66.96,broken clouds,71,53,7.81,ES
Saskylakh,71.9167,114.0833,-6.14,broken clouds,100,70,3.96,RU
Yellowknife,62.456,-114.3525,21.72,broken clouds,93,75,11.5,CA
East London,-33.0153,27.9116,64.36,overcast clouds,69,100,10.67,ZA
Mutis,6.2262,-77.4044,78.46,light rain,87,100,5.68,CO
Kapaa,22.0752,-159.319,87.78,few clouds,71,20,17.27,US
Torbay,47.6666,-52.7314,55.49,clear sky,85,0,3.0,CA
Herat,34.5,62.0,54.52,clear sky,65,0,9.48,AF
Helsinki,60.1695,24.9355,46.11,light intensity drizzle,93,75,5.99,FI
Coquimbo,-29.9533,-71.3436,58.73,broken clouds,72,75,8.05,CL
Cidreira,-30.1811,-50.2056,66.16,clear sky,79,0,19.08,BR
Georgetown,5.4112,100.3354,77.23,few clouds,92,20,4.61,MY
Sur,22.5667,59.5289,79.92,clear sky,48,0,7.49,OM
Qaanaaq,77.484,-69.3632,22.3,light snow,96,100,3.62,GL
Leningradskiy,69.3833,178.4167,2.71,broken clouds,89,59,5.03,RU
George Town,5.4112,100.3354,77.23,few clouds,92,20,4.61,MY
Kulu,39.0951,33.0799,53.11,clear sky,43,1,4.79,TR
San Bernardo,-33.6,-70.7167,66.43,clear sky,50,6,10.27,CL
Barrow,71.2906,-156.7887,17.62,overcast clouds,93,100,21.85,US
Dikson,73.5069,80.5464,22.84,overcast clouds,85,99,1.88,RU
Plettenberg Bay,-34.0527,23.3716,59.49,light rain,77,94,3.83,ZA
Miraflores,19.2167,-98.8083,79.97,light rain,67,99,4.38,MX
Severo-Kurilsk,50.6789,156.125,39.07,clear sky,65,3,5.97,RU
Zhanaozen,43.3,52.8,50.27,overcast clouds,59,98,10.56,KZ
Goderich,43.7501,-81.7165,65.91,overcast clouds,60,95,17.02,CA
Saint-Philippe,-21.3585,55.7679,69.39,scattered clouds,78,39,14.05,RE
Tuktoyaktuk,69.4541,-133.0374,11.55,broken clouds,93,61,6.51,CA
Kaitangata,-46.2817,169.8464,55.49,light rain,57,100,5.03,NZ
Kavaratti,10.5669,72.642,81.9,overcast clouds,61,95,7.96,IN
Cayenne,4.9333,-52.3333,80.64,overcast clouds,83,100,5.75,GF
Taoudenni,22.6783,-3.9836,82.58,broken clouds,12,82,10.69,ML
Les Trois-Ilets,14.539,-61.0361,79.72,overcast clouds,83,99,4.61,MQ
Ostrovnoy,68.0531,39.5131,31.19,overcast clouds,88,93,17.43,RU
Longyearbyen,78.2186,15.6401,13.84,few clouds,73,20,5.75,SJ
Castro,-24.7911,-50.0119,63.12,clear sky,84,0,4.74,BR
Ilulissat,69.2167,-51.1,26.62,light snow,93,100,4.61,GL
Viedma,-40.8135,-62.9967,68.47,overcast clouds,56,98,14.88,AR
Beira,-19.8436,34.8389,76.84,scattered clouds,85,25,8.75,MZ
Luderitz,-26.6481,15.1594,63.97,overcast clouds,61,100,15.01,NA
Hermanus,-34.4187,19.2345,59.81,overcast clouds,77,100,12.44,ZA
Flinders,-34.5833,150.8552,69.19,broken clouds,79,68,8.01,AU
Zhigansk,66.7697,123.3711,1.51,overcast clouds,96,89,5.82,RU
Busselton,-33.65,115.3333,54.1,broken clouds,90,75,4.85,AU
Port Hardy,50.6996,-127.4199,46.58,broken clouds,93,75,4.61,CA
Vestmannaeyjar,63.4427,-20.2734,44.91,overcast clouds,86,100,20.49,IS
Fort Nelson,58.8053,-122.7002,26.94,broken clouds,77,65,1.9,CA
Thompson,55.7435,-97.8558,26.08,light snow,96,100,9.22,CA
Hithadhoo,-0.6,73.0833,82.18,scattered clouds,72,44,12.26,MV
Marsh Harbour,26.5412,-77.0636,78.93,clear sky,69,7,9.75,BS
Carnarvon,-24.8667,113.6333,63.23,clear sky,68,0,22.73,AU
Hilo,19.7297,-155.09,83.12,broken clouds,69,75,11.5,US
Odweyne,9.4092,45.064,72.05,scattered clouds,76,48,5.03,SO
Narsaq,60.9167,-46.05,26.82,clear sky,73,1,6.8,GL
Bereda,43.2686,-7.5406,59.14,scattered clouds,89,43,9.6,ES
Tiznit,29.5833,-9.5,80.02,broken clouds,16,83,10.09,MA
Springbok,-29.6643,17.8865,59.65,overcast clouds,38,94,3.42,ZA
Barreirinhas,-2.7469,-42.8264,78.49,overcast clouds,78,100,10.25,BR
Muriwai Beach,-36.8167,174.45,65.43,broken clouds,68,55,6.55,NZ
Lakes Entrance,-37.8811,147.981,58.15,light rain,97,100,2.66,AU
Nome,64.5011,-165.4064,27.16,overcast clouds,83,100,19.17,US
Alofi,-19.0595,-169.9187,78.69,broken clouds,53,75,13.8,NU
Miracatu,-24.2814,-47.4597,65.91,broken clouds,93,68,3.22,BR
Bethel,41.3712,-73.414,69.89,overcast clouds,87,100,6.91,US
Edd,13.9297,41.6925,86.13,clear sky,50,3,15.97,ER
Bilibino,68.0546,166.4372,-14.15,few clouds,99,14,3.4,RU
Hobart,-42.8794,147.3294,56.26,mist,97,75,18.41,AU
Kushmurun,52.4503,64.6311,34.86,overcast clouds,78,99,4.45,KZ
Alyangula,-13.8483,136.4192,83.35,scattered clouds,75,34,14.97,AU
Nikolskoye,59.7035,30.7861,35.49,overcast clouds,89,100,7.67,RU
Beringovskiy,63.05,179.3167,20.97,overcast clouds,78,97,10.94,RU
San Cristobal,7.7669,-72.225,75.38,overcast clouds,75,100,1.45,VE
Saint-Francois,46.4154,3.9054,57.67,overcast clouds,88,98,6.91,FR
Victoria,22.2855,114.1577,73.45,overcast clouds,72,99,11.01,HK
Gizo,-8.103,156.8419,84.4,scattered clouds,67,48,2.82,SB
