City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Arlit,18.7369,7.3853,80.51,18,2,15.7,NE,1666815146
Butaritari,3.0707,172.7902,81.99,75,100,13.85,KI,1666815146
Taltal,-25.4,-70.4833,64.0,64,23,6.6,CL,1666815147
Marsh Harbour,26.5412,-77.0636,78.44,63,7,10.51,BS,1666815147
Atuona,-9.8,-139.0333,77.22,74,23,19.44,PF,1666815148
Ponta do Sol,32.6667,-17.1,74.01,80,65,5.41,PT,1666815148
Atlantic City,39.3643,-74.4229,68.18,88,100,10.36,US,1666814936
San Patricio,28.017,-97.5169,80.17,25,0,11.45,US,1666815149
Nanortalik,60.1432,-45.2371,34.83,95,100,4.43,GL,1666815149
Wuwei,37.9281,102.6414,46.02,58,2,1.41,CN,1666815150
Saint-Philippe,-21.3585,55.7679,71.19,86,95,14.7,RE,1666815150
Vaini,-21.2,-175.2,75.36,78,20,9.22,TO,1666815150
Mataura,-46.1927,168.8643,46.63,100,100,3.31,NZ,1666815151
Constitución,-35.3333,-72.4167,61.5,70,13,15.14,CL,1666814893
Westport,41.1415,-73.3579,75.09,85,100,4.61,US,1666814911
Carnarvon,-24.8667,113.6333,65.3,67,0,23.11,AU,1666815151
Vila,42.0304,-8.1588,58.69,76,100,6.31,PT,1666815152
Bluff,-46.6,168.3333,45.68,91,100,12.21,NZ,1666815152
Cape Town,-33.9258,18.4232,66.11,75,0,7.0,ZA,1666815081
Tuktoyaktuk,69.4541,-133.0374,11.68,88,69,17.69,CA,1666815153
Cabo San Lucas,22.8909,-109.9124,87.62,61,20,11.5,MX,1666815153
Kruisfontein,-34.0033,24.7314,63.88,91,0,9.1,ZA,1666815153
Wanaka,-44.7,169.15,50.11,92,100,2.55,NZ,1666814910
Macapá,0.0389,-51.0664,89.58,62,20,9.22,BR,1666815154
Heyang,26.1011,107.473,63.12,92,100,1.97,CN,1666815154
Belmonte,-15.8631,-38.8828,75.2,85,16,6.62,BR,1666815155
Thinadhoo,0.5333,72.9333,82.29,77,77,14.88,MV,1666815155
Nome,64.5011,-165.4064,30.27,60,0,14.97,US,1666815156
Plettenberg Bay,-34.0527,23.3716,60.51,89,1,4.18,ZA,1666815156
Umm Kaddadah,13.6017,26.6876,79.54,21,10,13.2,SD,1666815156
Rikitea,-23.1203,-134.9692,73.29,82,94,11.68,PF,1666815157
Yate,51.5407,-2.4184,59.05,90,100,5.01,GB,1666815157
Khandyga,62.6667,135.6,9.5,98,100,3.44,RU,1666815158
Arraial do Cabo,-22.9661,-42.0278,75.06,73,40,13.8,BR,1666815158
Nizwá,22.9333,57.5333,76.86,30,0,3.76,OM,1666815158
Roebourne,-20.7833,117.1333,72.7,46,0,4.97,AU,1666815159
Nur-Sultan,51.1801,71.446,33.75,93,75,17.9,KZ,1666814954
Esperance,-33.8667,121.9,56.79,60,98,9.98,AU,1666815159
Fairbanks,64.8378,-147.7164,19.81,71,0,10.36,US,1666815005
Sørland,67.667,12.6934,42.66,57,81,3.58,NO,1666815160
Lebu,-37.6167,-73.65,57.11,72,8,10.13,CL,1666815160
